LATITUDE,LONGITUDE,DATE,EVAP,PRCP,TMAX,TMIN
28.71583,-97.17444,20030701,41,183,339,228
28.71583,-97.17444,20030702,36,43,333,217
28.71583,-97.17444,20030703,38,3,333,239
28.71583,-97.17444,20030704,18,33,289,233
28.71583,-97.17444,20030705,23,20,306,222
28.71583,-97.17444,20030706,30,112,322,228
28.71583,-97.17444,20030707,46,23,322,233
28.71583,-97.17444,20030708,15,318,294,222
28.71583,-97.17444,20030709,20,185,294,233
28.71583,-97.17444,20030710,30,10,328,233
28.71583,-97.17444,20030711,53,0,339,233
28.71583,-97.17444,20030712,51,0,344,228
28.71583,-97.17444,20030713,30,0,333,222
28.71583,-97.17444,20030714,48,0,339,233
28.71583,-97.17444,20030715,56,0,339,250
28.71583,-97.17444,20030716,8,894,-9999,-9999
28.71583,-97.17444,20030717,20,155,-9999,-9999
28.71583,-97.17444,20030718,46,0,333,217
28.71583,-97.17444,20030719,51,0,339,239
28.71583,-97.17444,20030720,48,0,333,228
28.71583,-97.17444,20030721,53,0,-9999,-9999
28.71583,-97.17444,20030722,56,0,328,-9999
28.71583,-97.17444,20030723,48,0,339,233
28.71583,-97.17444,20030724,36,0,333,244
28.71583,-97.17444,20030725,48,0,344,228
28.71583,-97.17444,20030726,48,0,339,228
28.71583,-97.17444,20030727,46,0,339,239
28.71583,-97.17444,20030728,30,28,317,233
28.71583,-97.17444,20030729,25,61,328,233
28.71583,-97.17444,20030730,41,3,333,239
28.71583,-97.17444,20030731,51,0,283,283
28.71583,-97.17444,20030801,51,0,344,233
28.71583,-97.17444,20030802,48,0,344,228
28.71583,-97.17444,20030803,51,0,339,228
28.71583,-97.17444,20030804,51,0,339,228
28.71583,-97.17444,20030805,56,0,339,222
28.71583,-97.17444,20030806,53,0,344,222
28.71583,-97.17444,20030807,51,0,361,244
28.71583,-97.17444,20030808,53,0,383,239
28.71583,-97.17444,20030809,53,0,383,239
28.71583,-97.17444,20030810,53,0,367,256
28.71583,-97.17444,20030811,43,0,350,222
28.71583,-97.17444,20030812,48,46,233,-9999
28.71583,-97.17444,20030813,53,0,328,217
28.71583,-97.17444,20030814,48,3,233,317
28.71583,-97.17444,20030815,18,208,278,222
28.71583,-97.17444,20030816,56,0,344,233
28.71583,-97.17444,20030817,43,0,344,233
28.71583,-97.17444,20030818,51,0,350,233
28.71583,-97.17444,20030819,51,0,350,228
28.71583,-97.17444,20030820,48,0,344,233
28.71583,-97.17444,20030821,46,0,350,233
28.71583,-97.17444,20030822,43,0,350,228
28.71583,-97.17444,20030823,33,0,328,217
28.71583,-97.17444,20030824,33,8,344,222
28.71583,-97.17444,20030825,46,0,356,222
28.71583,-97.17444,20030826,43,0,356,222
28.71583,-97.17444,20030827,48,0,-9999,-9999
28.71583,-97.17444,20030828,43,0,361,222
28.71583,-97.17444,20030829,43,0,361,228
28.71583,-97.17444,20030830,46,0,361,239
28.71583,-97.17444,20030831,46,0,361,239
28.71583,-97.17444,20030901,38,180,361,239
28.71583,-97.17444,20030902,23,8,361,239
28.71583,-97.17444,20030903,18,249,311,239
28.71583,-97.17444,20030904,28,23,322,233
28.71583,-97.17444,20030905,28,3,328,233
28.71583,-97.17444,20030906,28,5,317,206
28.71583,-97.17444,20030907,28,0,322,189
28.71583,-97.17444,20030908,46,0,272,194
28.71583,-97.17444,20030909,43,0,322,211
28.71583,-97.17444,20030910,36,76,328,222
28.71583,-97.17444,20030911,33,97,322,-9999
28.71583,-97.17444,20030912,41,0,333,194
28.71583,-97.17444,20030913,38,345,294,189
28.71583,-97.17444,20030914,41,0,328,200
28.71583,-97.17444,20030915,25,241,322,200
28.71583,-97.17444,20030916,43,0,317,211
28.71583,-97.17444,20030917,28,224,300,222
28.71583,-97.17444,20030918,30,20,306,228
28.71583,-97.17444,20030919,10,394,306,200
28.71583,-97.17444,20030920,28,28,289,211
28.71583,-97.17444,20030921,15,193,256,-9999
28.71583,-97.17444,20030922,15,94,239,211
28.71583,-97.17444,20030923,36,3,289,194
28.71583,-97.17444,20030924,38,0,300,194
28.71583,-97.17444,20030925,43,0,306,206
28.71583,-97.17444,20030926,36,8,311,217
28.71583,-97.17444,20030927,38,8,311,222
28.71583,-97.17444,20030928,33,0,311,211
28.71583,-97.17444,20030929,51,0,311,156
28.71583,-97.17444,20030930,48,0,283,139
28.71583,-97.17444,20031001,46,0,278,150
28.71583,-97.17444,20031002,48,0,283,156
28.71583,-97.17444,20031003,43,0,267,128
28.71583,-97.17444,20031004,41,0,283,133
28.71583,-97.17444,20031005,33,0,-9999,-9999
28.71583,-97.17444,20031006,33,0,317,194
28.71583,-97.17444,20031007,25,23,283,206
